Id,EAN code,Title,Brand,Magnitude,Unit,Count,w_mag,w_unit,Price,category_tlc,category_mlc,category_llc,Children,Image
10000285,"""10000285""",(Groundnut - Fresh (Loose))fresho![1x1]{kg}<193.15>,fresho!,1000,g,1,1,kg,193.15,Fruits & Vegetables,Fresh Vegetables,Specialty,"[{'id': '30007401', 'desc': 'Groundnut - Fresh', 'sku_max_quantity': 0, 'pack_desc': '', 'sort_index_pos': 0, 'cart_count': 0, 'is_best_value': False, 'magnitude': '250', 'w': '250 g', 'absolute_url': '/pd/30007401/fresho-groundnut-fresh-250-g/', 'unit': 'g', 'usp': 'Rich Source of Energy & Contains Antioxidants', 'availability': {'avail_status': '001', 'display_mrp': True, 'display_sp': True, 'not_for_sale': False, 'button': 'Add', 'show_express': False}, 'pricing': {'discount': {'mrp': '35', 'mrp_per_pack': None, 'd_text': '27% OFF', 'd_avail': 'true', 'prim_price': {'sp': '25.55', 'sp_per_pack': None, 'icon': {'base_url': None, 'image': None, 'format': None}, 'desc': '', 'base_price': '0.1', 'base_unit': 'g'}, 'sec_price': {'sp': None, 'icon': None, 'desc': None, 'background': None}, 'subscription_price': '25.55', 'camp_detail': {'c': [1406111], 'c_f': 9.45, 'd_t': 'percent', 'd_v': 27, 'dual_pricing': False, 'm_f': 0, 'narq': 9999999, 'r_c': [1406111], 'v_f': 0}, 'offer_entry_text': '', 'offer_available': 'false'}, 'promo': None, 'subscribe': {'desc': None, 'desc_label': None, 'subs_c': [], 'subs_sp': None}, 'offer': {'arrow_image': None, 'background': {'direction': None, 'gradient': None}, 'background_border': {'direction': None, 'gradient': None}, 'campaign_type': None, 'campaign_type_icon': None, 'campaign_type_slug': '', 'offer_available': 'false', 'offer_ent_txt': '', 'offer_entry_text': '', 'text_color': None}}, 'images': [{'s': 'https://www.bigbasket.com/media/uploads/p/s/30007401_7-fresho-groundnut-fresh.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/30007401_7-fresho-groundnut-fresh.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/30007401_7-fresho-groundnut-fresh.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/30007401-2_1-fresho-groundnut-fresh.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/30007401-2_1-fresho-groundnut-fresh.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/30007401-2_1-fresho-groundnut-fresh.jpg'}], 'variable_weight': {'msg': 'Please note that the item(s) in this product may vary slightly in size and weight. Hence, the actual weight of the product delivered can have a small variance. You will be billed based on the actual weight during order processing.', 'link': '/variableweight/?source=app'}, 'brand': {'name': 'fresho!', 'slug': 'fresho', 'url': '/pb/fresho/'}, 'category': {'tlc_name': 'Fruits & Vegetables', 'tlc_slug': 'fruits-vegetables', 'mlc_name': 'Fresh Vegetables', 'mlc_slug': 'fresh-vegetables', 'mlc_id': 1353, 'llc_name': 'Specialty', 'llc_slug': 'type=pc&slug=specialty', 'llc_id': 1360}, 'additional_attr': {'info': []}, 'combo': None, 'rating_info': {'avg_rating': None, 'rating_count': None, 'review_count': None, 'sku_id': 10000285}, 'visibility': {'path_id': 1829, 'fc_id': 704, 'sa_id': 10654}, 'additional_info': {'ppu': {'url': '', 'label': 'Per unit Price', 'type': 'ppu'}}, 'ctas': {'data': []}, 'ean_code': '30007401', 'parent_info': {'id': 286279, 'parent_product_id': None, 'child_product_id': None, 'order': 0, 'parent_id': 10000285, 'child_id': 30007401, 'is_default': 0, 'type': 1, 'created_by_id': 1342, 'updated_by_id': 1342, 'created_on': '2019-10-17 23:20:56', 'updated_on': '2019-10-17 23:20:56'}, 'high_affinity': [], 'is_tobacco': False}, {'id': '10000286', 'desc': 'Groundnut - Fresh (Loose)', 'sku_max_quantity': 0, 'pack_desc': '', 'sort_index_pos': 0, 'cart_count': 0, 'is_best_value': False, 'magnitude': '500', 'w': '500 g', 'absolute_url': '/pd/10000286/fresho-groundnut-fresh-500-g/', 'unit': 'g', 'usp': 'Rich Source of Energy & Contains Antioxidants', 'availability': {'avail_status': '001', 'display_mrp': True, 'display_sp': True, 'not_for_sale': False, 'button': 'Add', 'show_express': False}, 'pricing': {'discount': {'mrp': '69.86', 'mrp_per_pack': None, 'd_text': '27% OFF', 'd_avail': 'true', 'prim_price': {'sp': '51', 'sp_per_pack': None, 'icon': {'base_url': None, 'image': None, 'format': None}, 'desc': '', 'base_price': '0.1', 'base_unit': 'g'}, 'sec_price': {'sp': None, 'icon': None, 'desc': None, 'background': None}, 'subscription_price': '51', 'camp_detail': {'c': [1406111], 'c_f': 18.86, 'd_t': 'percent', 'd_v': 27, 'dual_pricing': False, 'm_f': 0, 'narq': 9999999, 'r_c': [1406111], 'v_f': 0}, 'offer_entry_text': '', 'offer_available': 'false'}, 'promo': None, 'subscribe': {'desc': None, 'desc_label': None, 'subs_c': [], 'subs_sp': None}, 'offer': {'arrow_image': None, 'background': {'direction': None, 'gradient': None}, 'background_border': {'direction': None, 'gradient': None}, 'campaign_type': None, 'campaign_type_icon': None, 'campaign_type_slug': '', 'offer_available': 'false', 'offer_ent_txt': '', 'offer_entry_text': '', 'text_color': None}}, 'images': [{'s': 'https://www.bigbasket.com/media/uploads/p/s/10000286_16-fresho-groundnut-fresh.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/10000286_16-fresho-groundnut-fresh.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/10000286_16-fresho-groundnut-fresh.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/10000286-2_1-fresho-groundnut-fresh.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/10000286-2_1-fresho-groundnut-fresh.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/10000286-2_1-fresho-groundnut-fresh.jpg'}], 'variable_weight': {'msg': 'Please note that the item(s) in this product may vary slightly in size and weight. Hence, the actual weight of the product delivered can have a small variance. You will be billed based on the actual weight during order processing.', 'link': '/variableweight/?source=app'}, 'brand': {'name': 'fresho!', 'slug': 'fresho', 'url': '/pb/fresho/'}, 'category': {'tlc_name': 'Fruits & Vegetables', 'tlc_slug': 'fruits-vegetables', 'mlc_name': 'Fresh Vegetables', 'mlc_slug': 'fresh-vegetables', 'mlc_id': 1353, 'llc_name': 'Specialty', 'llc_slug': 'type=pc&slug=specialty', 'llc_id': 1360}, 'additional_attr': {'info': []}, 'combo': None, 'rating_info': {'avg_rating': None, 'rating_count': None, 'review_count': None, 'sku_id': 10000285}, 'visibility': {'path_id': 1829, 'fc_id': 704, 'sa_id': 10654}, 'additional_info': {}, 'ctas': {'data': []}, 'ean_code': '10000286', 'parent_info': {'id': 286280, 'parent_product_id': None, 'child_product_id': None, 'order': 1, 'parent_id': 10000285, 'child_id': 10000286, 'is_default': 0, 'type': 1, 'created_by_id': 1342, 'updated_by_id': 1342, 'created_on': '2019-10-17 23:20:56', 'updated_on': '2019-10-17 23:20:56'}, 'high_affinity': [], 'is_tobacco': False}]","[{'s': 'https://www.bigbasket.com/media/uploads/p/s/10000285_16-fresho-groundnut-fresh.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/10000285_16-fresho-groundnut-fresh.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/10000285_16-fresho-groundnut-fresh.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/10000285-2_1-fresho-groundnut-fresh.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/10000285-2_1-fresho-groundnut-fresh.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/10000285-2_1-fresho-groundnut-fresh.jpg'}]"
40242452,"""40242452""","(Coconut Flower - Medium, Rich In Fibre, Helps Manage Blood Sugar Levels)fresho![1x1]{pc}<101.37>",fresho!,1,pc,1,1,pc,101.37,Fruits & Vegetables,Fresh Vegetables,Specialty,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40242452_1-fresho-coconut-flower-medium-rich-in-fibre-helps-manage-blood-sugar-levels.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40242452_1-fresho-coconut-flower-medium-rich-in-fibre-helps-manage-blood-sugar-levels.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40242452_1-fresho-coconut-flower-medium-rich-in-fibre-helps-manage-blood-sugar-levels.jpg'}]"
20002709,"""20002709""",(Hari boot)fresho![1x1]{kg}<50>,fresho!,1000,g,1,1,kg,50.0,Fruits & Vegetables,Fresh Vegetables,Specialty,"[{'id': '20002710', 'desc': 'Hari boot', 'sku_max_quantity': 0, 'pack_desc': '', 'sort_index_pos': 0, 'cart_count': 0, 'is_best_value': False, 'magnitude': '500', 'w': '500 g', 'absolute_url': '/pd/20002710/fresho-hari-boot-500-g/', 'unit': 'g', 'usp': 'Contains Good Amounts of Vitamins', 'availability': {'avail_status': '010', 'label': 'We are currently not delivering this', 'display_mrp': True, 'display_sp': False, 'not_for_sale': False, 'button': 'Notify Me', 'show_express': False}, 'pricing': {'discount': {'mrp': '47', 'mrp_per_pack': None, 'd_text': '27% OFF', 'd_avail': 'true', 'prim_price': {'sp': '34.31', 'sp_per_pack': None, 'icon': {'base_url': None, 'image': None, 'format': None}, 'desc': '', 'base_price': '0.07', 'base_unit': 'g'}, 'sec_price': {'sp': None, 'icon': None, 'desc': None, 'background': None}, 'subscription_price': '34.31', 'camp_detail': {'c': [1406111], 'c_f': 12.69, 'd_t': 'percent', 'd_v': 27, 'dual_pricing': False, 'm_f': 0, 'narq': 9999999, 'r_c': [1406111], 'v_f': 0}, 'offer_entry_text': '', 'offer_available': 'false'}, 'promo': None, 'subscribe': {'desc': None, 'desc_label': None, 'subs_c': [], 'subs_sp': None}, 'offer': {'arrow_image': None, 'background': {'direction': None, 'gradient': None}, 'background_border': {'direction': None, 'gradient': None}, 'campaign_type': None, 'campaign_type_icon': None, 'campaign_type_slug': '', 'offer_available': 'false', 'offer_ent_txt': '', 'offer_entry_text': '', 'text_color': None}}, 'images': [{'s': 'https://www.bigbasket.com/media/uploads/p/s/20002710_2-fresho-hari-boot.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/20002710_2-fresho-hari-boot.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/20002710_2-fresho-hari-boot.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/20002710-2_1-fresho-hari-boot.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/20002710-2_1-fresho-hari-boot.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/20002710-2_1-fresho-hari-boot.jpg'}], 'variable_weight': {'msg': 'Please note that the item(s) in this product may vary slightly in size and weight. Hence, the actual weight of the product delivered can have a small variance. You will be billed based on the actual weight during order processing.', 'link': '/variableweight/?source=app'}, 'brand': {'name': 'fresho!', 'slug': 'fresho', 'url': '/pb/fresho/'}, 'category': {'tlc_name': 'Fruits & Vegetables', 'tlc_slug': 'fruits-vegetables', 'mlc_name': 'Fresh Vegetables', 'mlc_slug': 'fresh-vegetables', 'mlc_id': 1353, 'llc_name': 'Specialty', 'llc_slug': 'type=pc&slug=specialty', 'llc_id': 1360}, 'additional_attr': {'info': []}, 'combo': None, 'rating_info': {'avg_rating': None, 'rating_count': None, 'review_count': None, 'sku_id': 20002709}, 'visibility': {'path_id': 1829, 'fc_id': 704, 'sa_id': 10654}, 'additional_info': {}, 'ctas': {'data': []}, 'ean_code': '20002710', 'parent_info': {'id': 218118, 'parent_product_id': None, 'child_product_id': None, 'order': 0, 'parent_id': 20002709, 'child_id': 20002710, 'is_default': 0, 'type': 1, 'created_by_id': 22976, 'updated_by_id': 22976, 'created_on': '2017-10-18 16:29:36', 'updated_on': '2017-10-18 16:29:36'}, 'high_affinity': [], 'is_tobacco': False}]","[{'s': 'https://www.bigbasket.com/media/uploads/p/s/20002709_2-fresho-hari-boot.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/20002709_2-fresho-hari-boot.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/20002709_2-fresho-hari-boot.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/20002709-2_1-fresho-hari-boot.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/20002709-2_1-fresho-hari-boot.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/20002709-2_1-fresho-hari-boot.jpg'}]"
40084250,"""40084250""","(Banana Stem - Direct, Institutional)fresho![1x1]{pc}<10.5>",fresho!,1,pc,1,1,pc,10.5,Fruits & Vegetables,Fresh Vegetables,Specialty,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40084250_1-fresho-banana-stem-direct-institutional.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40084250_1-fresho-banana-stem-direct-institutional.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40084250_1-fresho-banana-stem-direct-institutional.jpg'}]"
40084320,"""40084320""","(Fresh Groundnut Economy, Institutional)fresho![1x1]{kg}<82>",fresho!,1000,g,1,1,kg,82.0,Fruits & Vegetables,Fresh Vegetables,Specialty,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40084320_0-fresho-fresh-groundnut-economy-institutional.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40084320_0-fresho-fresh-groundnut-economy-institutional.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40084320_0-fresho-fresh-groundnut-economy-institutional.jpg'}]"
40084270,"""40084270""","(Banana Flower - Direct, Institutional)fresho![1x1]{pc}<22>",fresho!,1,pc,1,1,pc,22.0,Fruits & Vegetables,Fresh Vegetables,Specialty,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40084270_1-fresho-banana-flower-direct-institutional.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40084270_1-fresho-banana-flower-direct-institutional.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40084270_1-fresho-banana-flower-direct-institutional.jpg'}]"
40026338,"""40026338""",(Kale)GreenTokri[1x100]{g}<72.6>,GreenTokri,100,g,1,100,g,72.6,Fruits & Vegetables,Fresh Vegetables,Specialty,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40026338_2-greentokri-kale.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40026338_2-greentokri-kale.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40026338_2-greentokri-kale.jpg'}]"
1222456,"""1222456""",(Daily fruits combo)fresho![1]{pc}<317.8>,fresho!,1,pc,1,,Combo,317.8,Fruits & Vegetables,Fresh Vegetables,Specialty,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/1222456_1-fresho-fresho-apple-red-delicious-regular-4-pcs-fresho-banana-robusta-1-kg.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/1222456_1-fresho-fresho-apple-red-delicious-regular-4-pcs-fresho-banana-robusta-1-kg.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/1222456_1-fresho-fresho-apple-red-delicious-regular-4-pcs-fresho-banana-robusta-1-kg.jpg'}]"
1222454,"""1222454""","(Methi, Carrot and Peas Combo)fresho![1]{pc}<128.16>",fresho!,1,pc,1,,Combo,128.16,Fruits & Vegetables,Fresh Vegetables,Specialty,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/1222454_1-fresho-fresho-methi-500-g-fresho-carrot-red-1-kg-fresho-green-peas-500-g.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/1222454_1-fresho-fresho-methi-500-g-fresho-carrot-red-1-kg-fresho-green-peas-500-g.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/1222454_1-fresho-fresho-methi-500-g-fresho-carrot-red-1-kg-fresho-green-peas-500-g.jpg'}]"
1222453,"""1222453""",(Carrot and Peas Combo)fresho![1]{pc}<93.16>,fresho!,1,pc,1,,Combo,93.16,Fruits & Vegetables,Fresh Vegetables,Specialty,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/1222453_1-fresho-fresho-carrot-red-1-kg-fresho-green-peas-500-g.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/1222453_1-fresho-fresho-carrot-red-1-kg-fresho-green-peas-500-g.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/1222453_1-fresho-fresho-carrot-red-1-kg-fresho-green-peas-500-g.jpg'}]"
1222455,"""1222455""",(Saag Combo)fresho![1]{pc}<154.64>,fresho!,1,pc,1,,Combo,154.64,Fruits & Vegetables,Fresh Vegetables,Specialty,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/1222455_1-fresho-fresho-palak-500-g-mustard-leaves-500-g-methi-250-g-bathua-saag-500-g.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/1222455_1-fresho-fresho-palak-500-g-mustard-leaves-500-g-methi-250-g-bathua-saag-500-g.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/1222455_1-fresho-fresho-palak-500-g-mustard-leaves-500-g-methi-250-g-bathua-saag-500-g.jpg'}]"
40084224,"""40084224""","(Banana - Raw Green Premium, Institutional)fresho![1x1]{kg}<60>",fresho!,1000,g,1,1,kg,60.0,Fruits & Vegetables,Fresh Vegetables,Specialty,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40084224_1-fresho-banana-raw-green-premium-institutional.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40084224_1-fresho-banana-raw-green-premium-institutional.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40084224_1-fresho-banana-raw-green-premium-institutional.jpg'}]"
