Id,EAN code,Title,Brand,Magnitude,Unit,Count,w_mag,w_unit,Price,category_tlc,category_mlc,category_llc,Children,Image
20001348,"""20001348""",(Betel Leaf)fresho![1x10]{pcs}<16.44>,fresho!,10,pc,1,10,pcs,16.44,Fruits & Vegetables,"Flower Bouquets, Bunches",Other Flowers,"[{'id': '20001347', 'desc': 'Betel Leaf', 'sku_max_quantity': 0, 'pack_desc': '', 'sort_index_pos': 0, 'cart_count': 0, 'is_best_value': False, 'magnitude': '5', 'w': '5 pcs', 'absolute_url': '/pd/20001347/fresho-betel-leaf-5-pcs/', 'unit': 'pc', 'usp': 'Rich in Vitamin C & Calcium', 'availability': {'avail_status': '001', 'display_mrp': True, 'display_sp': True, 'not_for_sale': False, 'button': 'Add', 'show_express': False}, 'pricing': {'discount': {'mrp': '13.7', 'mrp_per_pack': None, 'd_text': '27% OFF', 'd_avail': 'true', 'prim_price': {'sp': '10', 'sp_per_pack': None, 'icon': {'base_url': None, 'image': None, 'format': None}, 'desc': '', 'base_price': '2', 'base_unit': 'pc'}, 'sec_price': {'sp': None, 'icon': None, 'desc': None, 'background': None}, 'subscription_price': '10', 'camp_detail': {'c': [1406111], 'c_f': 3.7, 'd_t': 'percent', 'd_v': 27.01, 'dual_pricing': False, 'm_f': 0, 'narq': 9999999, 'r_c': [1406111], 'v_f': 0}, 'offer_entry_text': '', 'offer_available': 'false'}, 'promo': None, 'subscribe': {'desc': None, 'desc_label': None, 'subs_c': [], 'subs_sp': None}, 'offer': {'arrow_image': None, 'background': {'direction': None, 'gradient': None}, 'background_border': {'direction': None, 'gradient': None}, 'campaign_type': None, 'campaign_type_icon': None, 'campaign_type_slug': '', 'offer_available': 'false', 'offer_ent_txt': '', 'offer_entry_text': '', 'text_color': None}}, 'images': [{'s': 'https://www.bigbasket.com/media/uploads/p/s/20001347_9-fresho-betel-leaf.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/20001347_9-fresho-betel-leaf.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/20001347_9-fresho-betel-leaf.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/20001347-2_14-fresho-betel-leaf.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/20001347-2_14-fresho-betel-leaf.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/20001347-2_14-fresho-betel-leaf.jpg'}], 'variable_weight': None, 'brand': {'name': 'fresho!', 'slug': 'fresho', 'url': '/pb/fresho/'}, 'category': {'tlc_name': 'Fruits & Vegetables', 'tlc_slug': 'fruits-vegetables', 'mlc_name': 'Flower Bouquets, Bunches', 'mlc_slug': 'flower-bouquets-bunches', 'mlc_id': 1670, 'llc_name': 'Other Flowers', 'llc_slug': 'type=pc&slug=other-flowers', 'llc_id': 1671}, 'additional_attr': {'info': []}, 'combo': {'destination': {'display_name': '+1 More Combo', 'dest_type': 'product_summary', 'dest_ids': [1223617]}}, 'rating_info': {'avg_rating': None, 'rating_count': None, 'review_count': None, 'sku_id': 20003763}, 'visibility': {'path_id': 1829, 'fc_id': 704, 'sa_id': 10654}, 'additional_info': {}, 'ctas': {'data': []}, 'ean_code': '20001347', 'parent_info': {'id': 48897, 'parent_product_id': None, 'child_product_id': None, 'order': 1, 'parent_id': 20003763, 'child_id': 20001347, 'is_default': 0, 'type': None, 'created_by_id': None, 'updated_by_id': None, 'created_on': '2016-02-04 11:05:33', 'updated_on': '2016-02-04 11:05:33'}, 'high_affinity': [], 'is_tobacco': False}]","[{'s': 'https://www.bigbasket.com/media/uploads/p/s/20001348_9-fresho-betel-leaf.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/20001348_9-fresho-betel-leaf.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/20001348_9-fresho-betel-leaf.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/20001348-2_16-fresho-betel-leaf.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/20001348-2_16-fresho-betel-leaf.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/20001348-2_16-fresho-betel-leaf.jpg'}]"
40196765,"""1415580""",(Assorted Puja Flowers)Hoovu Fresh[1x100]{g}<86.3>,Hoovu Fresh,100,g,1,100,g,86.3,Fruits & Vegetables,"Flower Bouquets, Bunches",Other Flowers,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40196765_1-hoovu-fresh-assorted-puja-flowers.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40196765_1-hoovu-fresh-assorted-puja-flowers.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40196765_1-hoovu-fresh-assorted-puja-flowers.jpg'}]"
30006410,"""30006410""",(Neem Leaves - Organically Grown)fresho![1x1]{kg}<89.04>,fresho!,1000,g,1,1,kg,89.04,Fruits & Vegetables,"Flower Bouquets, Bunches",Other Flowers,"[{'id': '30006411', 'desc': 'Neem Leaves - Organically Grown', 'sku_max_quantity': 0, 'pack_desc': '', 'sort_index_pos': 0, 'cart_count': 0, 'is_best_value': True, 'magnitude': '500', 'w': '500 g', 'absolute_url': '/pd/30006411/fresho-neem-leaves-organically-grown-500-g/', 'unit': 'g', 'usp': '', 'availability': {'avail_status': '001', 'display_mrp': True, 'display_sp': True, 'not_for_sale': False, 'button': 'Add', 'show_express': False}, 'pricing': {'discount': {'mrp': '27.4', 'mrp_per_pack': None, 'd_text': '27% OFF', 'd_avail': 'true', 'prim_price': {'sp': '20', 'sp_per_pack': None, 'icon': {'base_url': None, 'image': None, 'format': None}, 'desc': '', 'base_price': '0.04', 'base_unit': 'g'}, 'sec_price': {'sp': None, 'icon': None, 'desc': None, 'background': None}, 'subscription_price': '20', 'camp_detail': {'c': [1404957], 'c_f': 7.4, 'd_t': 'percent', 'd_v': 27.01, 'dual_pricing': False, 'm_f': 0, 'narq': 9999999, 'r_c': [1404957], 'v_f': 0}, 'offer_entry_text': '', 'offer_available': 'false'}, 'promo': None, 'subscribe': {'desc': None, 'desc_label': None, 'subs_c': [], 'subs_sp': None}, 'offer': {'arrow_image': None, 'background': {'direction': None, 'gradient': None}, 'background_border': {'direction': None, 'gradient': None}, 'campaign_type': None, 'campaign_type_icon': None, 'campaign_type_slug': '', 'offer_available': 'false', 'offer_ent_txt': '', 'offer_entry_text': '', 'text_color': None}}, 'images': [{'s': 'https://www.bigbasket.com/media/uploads/p/s/30006411_3-fresho-neem-leaves-organically-grown.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/30006411_3-fresho-neem-leaves-organically-grown.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/30006411_3-fresho-neem-leaves-organically-grown.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/30006411-2_1-fresho-neem-leaves-organically-grown.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/30006411-2_1-fresho-neem-leaves-organically-grown.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/30006411-2_1-fresho-neem-leaves-organically-grown.jpg'}], 'variable_weight': {'msg': 'Please note that the item(s) in this product may vary slightly in size and weight. Hence, the actual weight of the product delivered can have a small variance. You will be billed based on the actual weight during order processing.', 'link': '/variableweight/?source=app'}, 'brand': {'name': 'fresho!', 'slug': 'fresho', 'url': '/pb/fresho/'}, 'category': {'tlc_name': 'Fruits & Vegetables', 'tlc_slug': 'fruits-vegetables', 'mlc_name': 'Flower Bouquets, Bunches', 'mlc_slug': 'flower-bouquets-bunches', 'mlc_id': 1670, 'llc_name': 'Other Flowers', 'llc_slug': 'type=pc&slug=other-flowers', 'llc_id': 1671}, 'additional_attr': {'info': []}, 'combo': {'destination': {'display_name': '+1 More Combo', 'dest_type': 'product_summary', 'dest_ids': [1223617]}}, 'rating_info': {'avg_rating': None, 'rating_count': None, 'review_count': None, 'sku_id': 30006410}, 'visibility': {'path_id': 1829, 'fc_id': 704, 'sa_id': 10654}, 'additional_info': {'ppu': {'url': '', 'label': 'Per unit Price', 'type': 'ppu'}}, 'ctas': {'data': []}, 'ean_code': '30006411', 'parent_info': {'id': 465679, 'parent_product_id': None, 'child_product_id': None, 'order': 2, 'parent_id': 30006410, 'child_id': 30006411, 'is_default': 0, 'type': 1, 'created_by_id': 479892, 'updated_by_id': 479892, 'created_on': '2023-01-19 08:16:54', 'updated_on': '2023-01-19 08:16:54'}, 'high_affinity': [], 'is_tobacco': False}, {'id': '30007409', 'desc': 'Neem Leaves - Organically Grown', 'sku_max_quantity': 0, 'pack_desc': '', 'sort_index_pos': 0, 'cart_count': 0, 'is_best_value': False, 'magnitude': '50', 'w': '50 g', 'absolute_url': '/pd/30007409/fresho-neem-leaves-organically-grown-50-g/', 'unit': 'g', 'usp': '', 'availability': {'avail_status': '001', 'display_mrp': True, 'display_sp': True, 'not_for_sale': False, 'button': 'Add', 'show_express': False}, 'pricing': {'discount': {'mrp': '10.96', 'mrp_per_pack': None, 'd_text': '27% OFF', 'd_avail': 'true', 'prim_price': {'sp': '8', 'sp_per_pack': None, 'icon': {'base_url': None, 'image': None, 'format': None}, 'desc': '', 'base_price': '0.16', 'base_unit': 'g'}, 'sec_price': {'sp': None, 'icon': None, 'desc': None, 'background': None}, 'subscription_price': '8', 'camp_detail': {'c': [1404957], 'c_f': 2.96, 'd_t': 'percent', 'd_v': 27.01, 'dual_pricing': False, 'm_f': 0, 'narq': 9999999, 'r_c': [1404957], 'v_f': 0}, 'offer_entry_text': '', 'offer_available': 'false'}, 'promo': None, 'subscribe': {'desc': None, 'desc_label': None, 'subs_c': [], 'subs_sp': None}, 'offer': {'arrow_image': None, 'background': {'direction': None, 'gradient': None}, 'background_border': {'direction': None, 'gradient': None}, 'campaign_type': None, 'campaign_type_icon': None, 'campaign_type_slug': '', 'offer_available': 'false', 'offer_ent_txt': '', 'offer_entry_text': '', 'text_color': None}}, 'images': [{'s': 'https://www.bigbasket.com/media/uploads/p/s/30007409_4-fresho-neem-leaves-organically-grown.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/30007409_4-fresho-neem-leaves-organically-grown.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/30007409_4-fresho-neem-leaves-organically-grown.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/30007409-2_1-fresho-neem-leaves-organically-grown.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/30007409-2_1-fresho-neem-leaves-organically-grown.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/30007409-2_1-fresho-neem-leaves-organically-grown.jpg'}], 'variable_weight': {'msg': 'Please note that the item(s) in this product may vary slightly in size and weight. Hence, the actual weight of the product delivered can have a small variance. You will be billed based on the actual weight during order processing.', 'link': '/variableweight/?source=app'}, 'brand': {'name': 'fresho!', 'slug': 'fresho', 'url': '/pb/fresho/'}, 'category': {'tlc_name': 'Fruits & Vegetables', 'tlc_slug': 'fruits-vegetables', 'mlc_name': 'Flower Bouquets, Bunches', 'mlc_slug': 'flower-bouquets-bunches', 'mlc_id': 1670, 'llc_name': 'Other Flowers', 'llc_slug': 'type=pc&slug=other-flowers', 'llc_id': 1671}, 'additional_attr': {'info': []}, 'combo': {'destination': {'display_name': '+1 More Combo', 'dest_type': 'product_summary', 'dest_ids': [1223617]}}, 'rating_info': {'avg_rating': None, 'rating_count': None, 'review_count': None, 'sku_id': 30006410}, 'visibility': {'path_id': 1829, 'fc_id': 704, 'sa_id': 10654}, 'additional_info': {}, 'ctas': {'data': []}, 'ean_code': '83000740900062', 'parent_info': {'id': 465677, 'parent_product_id': None, 'child_product_id': None, 'order': 0, 'parent_id': 30006410, 'child_id': 30007409, 'is_default': 0, 'type': 1, 'created_by_id': 479892, 'updated_by_id': 479892, 'created_on': '2023-01-19 08:16:54', 'updated_on': '2023-01-19 08:16:54'}, 'high_affinity': [], 'is_tobacco': False}, {'id': '30006412', 'desc': 'Neem Leaves - Organically Grown', 'sku_max_quantity': 0, 'pack_desc': '', 'sort_index_pos': 0, 'cart_count': 0, 'is_best_value': False, 'magnitude': '250', 'w': '250 g', 'absolute_url': '/pd/30006412/fresho-neem-leaves-organically-grown-250-g/', 'unit': 'g', 'usp': '', 'availability': {'avail_status': '001', 'display_mrp': True, 'display_sp': True, 'not_for_sale': False, 'button': 'Add', 'show_express': False}, 'pricing': {'discount': {'mrp': '27.4', 'mrp_per_pack': None, 'd_text': '27% OFF', 'd_avail': 'true', 'prim_price': {'sp': '20', 'sp_per_pack': None, 'icon': {'base_url': None, 'image': None, 'format': None}, 'desc': '', 'base_price': '0.08', 'base_unit': 'g'}, 'sec_price': {'sp': None, 'icon': None, 'desc': None, 'background': None}, 'subscription_price': '20', 'camp_detail': {'c': [1406111], 'c_f': 7.4, 'd_t': 'percent', 'd_v': 27.01, 'dual_pricing': False, 'm_f': 0, 'narq': 9999999, 'r_c': [1406111], 'v_f': 0}, 'offer_entry_text': '', 'offer_available': 'false'}, 'promo': None, 'subscribe': {'desc': None, 'desc_label': None, 'subs_c': [], 'subs_sp': None}, 'offer': {'arrow_image': None, 'background': {'direction': None, 'gradient': None}, 'background_border': {'direction': None, 'gradient': None}, 'campaign_type': None, 'campaign_type_icon': None, 'campaign_type_slug': '', 'offer_available': 'false', 'offer_ent_txt': '', 'offer_entry_text': '', 'text_color': None}}, 'images': [{'s': 'https://www.bigbasket.com/media/uploads/p/s/30006412_4-fresho-neem-leaves-organically-grown.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/30006412_4-fresho-neem-leaves-organically-grown.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/30006412_4-fresho-neem-leaves-organically-grown.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/30006412-2_1-fresho-neem-leaves-organically-grown.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/30006412-2_1-fresho-neem-leaves-organically-grown.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/30006412-2_1-fresho-neem-leaves-organically-grown.jpg'}], 'variable_weight': {'msg': 'Please note that the item(s) in this product may vary slightly in size and weight. Hence, the actual weight of the product delivered can have a small variance. You will be billed based on the actual weight during order processing.', 'link': '/variableweight/?source=app'}, 'brand': {'name': 'fresho!', 'slug': 'fresho', 'url': '/pb/fresho/'}, 'category': {'tlc_name': 'Fruits & Vegetables', 'tlc_slug': 'fruits-vegetables', 'mlc_name': 'Flower Bouquets, Bunches', 'mlc_slug': 'flower-bouquets-bunches', 'mlc_id': 1670, 'llc_name': 'Other Flowers', 'llc_slug': 'type=pc&slug=other-flowers', 'llc_id': 1671}, 'additional_attr': {'info': []}, 'combo': {'destination': {'display_name': '+1 More Combo', 'dest_type': 'product_summary', 'dest_ids': [1223617]}}, 'rating_info': {'avg_rating': None, 'rating_count': None, 'review_count': None, 'sku_id': 30006410}, 'visibility': {'path_id': 1829, 'fc_id': 704, 'sa_id': 10654}, 'additional_info': {}, 'ctas': {'data': []}, 'ean_code': '30006412', 'parent_info': {'id': 465678, 'parent_product_id': None, 'child_product_id': None, 'order': 1, 'parent_id': 30006410, 'child_id': 30006412, 'is_default': 0, 'type': 1, 'created_by_id': 479892, 'updated_by_id': 479892, 'created_on': '2023-01-19 08:16:54', 'updated_on': '2023-01-19 08:16:54'}, 'high_affinity': [], 'is_tobacco': False}]","[{'s': 'https://www.bigbasket.com/media/uploads/p/s/30006410_4-fresho-neem-leaves-organically-grown.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/30006410_4-fresho-neem-leaves-organically-grown.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/30006410_4-fresho-neem-leaves-organically-grown.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/30006410-2_2-fresho-neem-leaves-organically-grown.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/30006410-2_2-fresho-neem-leaves-organically-grown.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/30006410-2_2-fresho-neem-leaves-organically-grown.jpg'}]"
20003403,"""20003403""",(Banana Leaf)fresho![1x5]{pcs}<57.53>,fresho!,5,pc,1,5,pcs,57.53,Fruits & Vegetables,"Flower Bouquets, Bunches",Other Flowers,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/20003403_3-fresho-banana-leaf.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/20003403_3-fresho-banana-leaf.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/20003403_3-fresho-banana-leaf.jpg'}]"
40232188,"""40232188""","(Assorted Puja Flowers - To Decorate, For Festivals)fresho![1x100]{g}<102.74>",fresho!,100,g,1,100,g,102.74,Fruits & Vegetables,"Flower Bouquets, Bunches",Other Flowers,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40232188_1-fresho-assorted-puja-flowers-to-decorate-for-festivals.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40232188_1-fresho-assorted-puja-flowers-to-decorate-for-festivals.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40232188_1-fresho-assorted-puja-flowers-to-decorate-for-festivals.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40232188-2_1-fresho-assorted-puja-flowers-to-decorate-for-festivals.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40232188-2_1-fresho-assorted-puja-flowers-to-decorate-for-festivals.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40232188-2_1-fresho-assorted-puja-flowers-to-decorate-for-festivals.jpg'}]"
40196773,"""2377898400006""",(Assorted Puja Flowers + Greens Mix)Hoovu Fresh[1x100]{g}<60.27>,Hoovu Fresh,100,g,1,100,g,60.27,Fruits & Vegetables,"Flower Bouquets, Bunches",Other Flowers,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40196773_1-hoovu-fresh-assorted-puja-flowers-greens-mix.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40196773_1-hoovu-fresh-assorted-puja-flowers-greens-mix.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40196773_1-hoovu-fresh-assorted-puja-flowers-greens-mix.jpg'}]"
40232194,"""40232194""","(Lotus Flower - To Decorate, For Festivals & Puja)fresho![1x2]{pcs}<135.62>",fresho!,2,pc,1,2,pcs,135.62,Fruits & Vegetables,"Flower Bouquets, Bunches",Other Flowers,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40232194_1-fresho-lotus-flower-to-decorate-for-festivals-puja.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40232194_1-fresho-lotus-flower-to-decorate-for-festivals-puja.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40232194_1-fresho-lotus-flower-to-decorate-for-festivals-puja.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40232194-2_1-fresho-lotus-flower-to-decorate-for-festivals-puja.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40232194-2_1-fresho-lotus-flower-to-decorate-for-festivals-puja.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40232194-2_1-fresho-lotus-flower-to-decorate-for-festivals-puja.jpg'}]"
40232206,"""40232206""","(Mango Leaves - Used To Decorate, For Festivals & Puja)fresho![1x2]{pcs}<53.42>",fresho!,2,pc,1,2,pcs,53.42,Fruits & Vegetables,"Flower Bouquets, Bunches",Other Flowers,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40232206_1-fresho-mango-bunches-used-to-decorate-for-festivals-puja.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40232206_1-fresho-mango-bunches-used-to-decorate-for-festivals-puja.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40232206_1-fresho-mango-bunches-used-to-decorate-for-festivals-puja.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40232206-2_1-fresho-mango-bunches-used-to-decorate-for-festivals-puja.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40232206-2_1-fresho-mango-bunches-used-to-decorate-for-festivals-puja.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40232206-2_1-fresho-mango-bunches-used-to-decorate-for-festivals-puja.jpg'}]"
40232195,"""40232195""","(Assorted Puja Flowers & Greens Mix - To Decorate, For Festivals & Puja)fresho![1x100]{g}<102.74>",fresho!,100,g,1,100,g,102.74,Fruits & Vegetables,"Flower Bouquets, Bunches",Other Flowers,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40232195_1-fresho-assorted-puja-flowers-greens-mix-to-decorate-for-festivals-puja.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40232195_1-fresho-assorted-puja-flowers-greens-mix-to-decorate-for-festivals-puja.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40232195_1-fresho-assorted-puja-flowers-greens-mix-to-decorate-for-festivals-puja.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40232195-2_1-fresho-assorted-puja-flowers-greens-mix-to-decorate-for-festivals-puja.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40232195-2_1-fresho-assorted-puja-flowers-greens-mix-to-decorate-for-festivals-puja.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40232195-2_1-fresho-assorted-puja-flowers-greens-mix-to-decorate-for-festivals-puja.jpg'}]"
40196767,"""2377897800005""",(Assorted Roses Puja Flowers)Hoovu Fresh[1x100]{g}<102.74>,Hoovu Fresh,100,g,1,100,g,102.74,Fruits & Vegetables,"Flower Bouquets, Bunches",Other Flowers,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40196767_1-hoovu-fresh-assorted-roses-puja-flowers.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40196767_1-hoovu-fresh-assorted-roses-puja-flowers.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40196767_1-hoovu-fresh-assorted-roses-puja-flowers.jpg'}]"
40322789,"""40322789""",(Paneer Roses)Hoovu Fresh[1x100]{g}<128.77>,Hoovu Fresh,100,g,1,100,g,128.77,Fruits & Vegetables,"Flower Bouquets, Bunches",Other Flowers,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40322789_1-hoovu-fresh-paneer-roses.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40322789_1-hoovu-fresh-paneer-roses.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40322789_1-hoovu-fresh-paneer-roses.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40322789-2_1-hoovu-fresh-paneer-roses.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40322789-2_1-hoovu-fresh-paneer-roses.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40322789-2_1-hoovu-fresh-paneer-roses.jpg'}]"
40322793,"""40322793""",(Rajnigandha - Loose)Hoovu Fresh[1x100]{g}<102.74>,Hoovu Fresh,100,g,1,100,g,102.74,Fruits & Vegetables,"Flower Bouquets, Bunches",Other Flowers,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40322793_1-hoovu-fresh-rajnigandha-loose.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40322793_1-hoovu-fresh-rajnigandha-loose.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40322793_1-hoovu-fresh-rajnigandha-loose.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40322793-2_1-hoovu-fresh-rajnigandha-loose.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40322793-2_1-hoovu-fresh-rajnigandha-loose.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40322793-2_1-hoovu-fresh-rajnigandha-loose.jpg'}]"
40196772,"""2377898300009""",(Lotus)Hoovu Fresh[1x2]{pcs}<142.86>,Hoovu Fresh,2,pc,1,2,pcs,142.86,Fruits & Vegetables,"Flower Bouquets, Bunches",Other Flowers,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40196772_1-hoovu-fresh-lotus.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40196772_1-hoovu-fresh-lotus.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40196772_1-hoovu-fresh-lotus.jpg'}]"
40232544,"""40232544""","(Marigold String - Used To Decorate, For Festivals & Puja)fresho![1x1]{pc}<63.01>",fresho!,1,pc,1,1,pc,63.01,Fruits & Vegetables,"Flower Bouquets, Bunches",Other Flowers,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40232544_1-fresho-marigold-string-used-to-decorate-for-festivals-puja.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40232544_1-fresho-marigold-string-used-to-decorate-for-festivals-puja.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40232544_1-fresho-marigold-string-used-to-decorate-for-festivals-puja.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40232544-2_1-fresho-marigold-string-used-to-decorate-for-festivals-puja.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40232544-2_1-fresho-marigold-string-used-to-decorate-for-festivals-puja.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40232544-2_1-fresho-marigold-string-used-to-decorate-for-festivals-puja.jpg'}]"
40232542,"""40232542""","(Ekkada Hoovu String - Used To Decorate, For Festivals & Puja)fresho![1x1]{pc}<106.85>",fresho!,1,pc,1,1,pc,106.85,Fruits & Vegetables,"Flower Bouquets, Bunches",Other Flowers,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40232542_1-fresho-ekkada-hoovu-string-used-to-decorate-for-festivals-puja.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40232542_1-fresho-ekkada-hoovu-string-used-to-decorate-for-festivals-puja.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40232542_1-fresho-ekkada-hoovu-string-used-to-decorate-for-festivals-puja.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40232542-2_1-fresho-ekkada-hoovu-string-used-to-decorate-for-festivals-puja.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40232542-2_1-fresho-ekkada-hoovu-string-used-to-decorate-for-festivals-puja.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40232542-2_1-fresho-ekkada-hoovu-string-used-to-decorate-for-festivals-puja.jpg'}]"
40232543,"""40232543""","(Bilpatre String - Used To Decorate, For Festivals & Puja)fresho![1x1]{pc}<172.6>",fresho!,1,pc,1,1,pc,172.6,Fruits & Vegetables,"Flower Bouquets, Bunches",Other Flowers,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40232543_1-fresho-bilpatre-string-used-to-decorate-for-festivals-puja.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40232543_1-fresho-bilpatre-string-used-to-decorate-for-festivals-puja.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40232543_1-fresho-bilpatre-string-used-to-decorate-for-festivals-puja.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40232543-2_1-fresho-bilpatre-string-used-to-decorate-for-festivals-puja.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40232543-2_1-fresho-bilpatre-string-used-to-decorate-for-festivals-puja.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40232543-2_1-fresho-bilpatre-string-used-to-decorate-for-festivals-puja.jpg'}]"
