Id,EAN code,Title,Brand,Magnitude,Unit,Count,w_mag,w_unit,Price,category_tlc,category_mlc,category_llc,Children,Image
40308856,"""40308856""","(Planter/ Pot With Tray, Hand- Painted Ceramic, Vintage Floral Yellow Blue, 25.4 cm, Large Size)bb home Earth[1]{ pc}<1299>",bb home Earth,1.0,pc,1,1, pc,1299.0,"Kitchen, Garden & Pets",Gardening,"Pots, Planters & Trays",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40308856_2-bb-home-earth-planter-with-tray-vintage-floral-hand-painted-yellow-blue-254-cm-large-size.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308856_2-bb-home-earth-planter-with-tray-vintage-floral-hand-painted-yellow-blue-254-cm-large-size.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308856_2-bb-home-earth-planter-with-tray-vintage-floral-hand-painted-yellow-blue-254-cm-large-size.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308856-2_2-bb-home-earth-planter-with-tray-vintage-floral-hand-painted-yellow-blue-254-cm-large-size.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308856-2_2-bb-home-earth-planter-with-tray-vintage-floral-hand-painted-yellow-blue-254-cm-large-size.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308856-2_2-bb-home-earth-planter-with-tray-vintage-floral-hand-painted-yellow-blue-254-cm-large-size.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308856-3_2-bb-home-earth-planter-with-tray-vintage-floral-hand-painted-yellow-blue-254-cm-large-size.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308856-3_2-bb-home-earth-planter-with-tray-vintage-floral-hand-painted-yellow-blue-254-cm-large-size.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308856-3_2-bb-home-earth-planter-with-tray-vintage-floral-hand-painted-yellow-blue-254-cm-large-size.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308856-4_2-bb-home-earth-planter-with-tray-vintage-floral-hand-painted-yellow-blue-254-cm-large-size.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308856-4_2-bb-home-earth-planter-with-tray-vintage-floral-hand-painted-yellow-blue-254-cm-large-size.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308856-4_2-bb-home-earth-planter-with-tray-vintage-floral-hand-painted-yellow-blue-254-cm-large-size.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308856-5_2-bb-home-earth-planter-with-tray-vintage-floral-hand-painted-yellow-blue-254-cm-large-size.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308856-5_2-bb-home-earth-planter-with-tray-vintage-floral-hand-painted-yellow-blue-254-cm-large-size.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308856-5_2-bb-home-earth-planter-with-tray-vintage-floral-hand-painted-yellow-blue-254-cm-large-size.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308856-6_2-bb-home-earth-planter-with-tray-vintage-floral-hand-painted-yellow-blue-254-cm-large-size.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308856-6_2-bb-home-earth-planter-with-tray-vintage-floral-hand-painted-yellow-blue-254-cm-large-size.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308856-6_2-bb-home-earth-planter-with-tray-vintage-floral-hand-painted-yellow-blue-254-cm-large-size.jpg'}]"
40308854,"""40308854""","(Planter/ Pot With Tray, Hand Painted Ceramic, Jewel Royal Blue, 15.24 cm, Medium Size)bb home Earth[1]{ pc}<699>",bb home Earth,1.0,pc,1,1, pc,699.0,"Kitchen, Garden & Pets",Gardening,"Pots, Planters & Trays",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40308854_2-bb-home-earth-planter-with-tray-round-minimalist-royal-blue-1524-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308854_2-bb-home-earth-planter-with-tray-round-minimalist-royal-blue-1524-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308854_2-bb-home-earth-planter-with-tray-round-minimalist-royal-blue-1524-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308854-2_2-bb-home-earth-planter-with-tray-round-minimalist-royal-blue-1524-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308854-2_2-bb-home-earth-planter-with-tray-round-minimalist-royal-blue-1524-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308854-2_2-bb-home-earth-planter-with-tray-round-minimalist-royal-blue-1524-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308854-3_2-bb-home-earth-planter-with-tray-round-minimalist-royal-blue-1524-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308854-3_2-bb-home-earth-planter-with-tray-round-minimalist-royal-blue-1524-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308854-3_2-bb-home-earth-planter-with-tray-round-minimalist-royal-blue-1524-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308854-4_2-bb-home-earth-planter-with-tray-round-minimalist-royal-blue-1524-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308854-4_2-bb-home-earth-planter-with-tray-round-minimalist-royal-blue-1524-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308854-4_2-bb-home-earth-planter-with-tray-round-minimalist-royal-blue-1524-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308854-5_2-bb-home-earth-planter-with-tray-round-minimalist-royal-blue-1524-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308854-5_2-bb-home-earth-planter-with-tray-round-minimalist-royal-blue-1524-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308854-5_2-bb-home-earth-planter-with-tray-round-minimalist-royal-blue-1524-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308854-6_2-bb-home-earth-planter-with-tray-round-minimalist-royal-blue-1524-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308854-6_2-bb-home-earth-planter-with-tray-round-minimalist-royal-blue-1524-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308854-6_2-bb-home-earth-planter-with-tray-round-minimalist-royal-blue-1524-cm.jpg'}]"
40308858,"""8904256730396""","(Planter/ Pot With Tray, Hand-Painted Ceramic, Vintage Autumn, 20.32 cm, Medium Size)bb home Earth[1]{ pc}<799>",bb home Earth,1.0,pc,1,1, pc,799.0,"Kitchen, Garden & Pets",Gardening,"Pots, Planters & Trays",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40308858_2-bb-home-earth-planter-with-tray-autumn-multicolour-round-v-shaped-2032-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308858_2-bb-home-earth-planter-with-tray-autumn-multicolour-round-v-shaped-2032-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308858_2-bb-home-earth-planter-with-tray-autumn-multicolour-round-v-shaped-2032-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308858-2_2-bb-home-earth-planter-with-tray-autumn-multicolour-round-v-shaped-2032-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308858-2_2-bb-home-earth-planter-with-tray-autumn-multicolour-round-v-shaped-2032-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308858-2_2-bb-home-earth-planter-with-tray-autumn-multicolour-round-v-shaped-2032-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308858-3_2-bb-home-earth-planter-with-tray-autumn-multicolour-round-v-shaped-2032-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308858-3_2-bb-home-earth-planter-with-tray-autumn-multicolour-round-v-shaped-2032-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308858-3_2-bb-home-earth-planter-with-tray-autumn-multicolour-round-v-shaped-2032-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308858-4_2-bb-home-earth-planter-with-tray-autumn-multicolour-round-v-shaped-2032-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308858-4_2-bb-home-earth-planter-with-tray-autumn-multicolour-round-v-shaped-2032-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308858-4_2-bb-home-earth-planter-with-tray-autumn-multicolour-round-v-shaped-2032-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308858-5_2-bb-home-earth-planter-with-tray-autumn-multicolour-round-v-shaped-2032-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308858-5_2-bb-home-earth-planter-with-tray-autumn-multicolour-round-v-shaped-2032-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308858-5_2-bb-home-earth-planter-with-tray-autumn-multicolour-round-v-shaped-2032-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308858-6_2-bb-home-earth-planter-with-tray-autumn-multicolour-round-v-shaped-2032-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308858-6_2-bb-home-earth-planter-with-tray-autumn-multicolour-round-v-shaped-2032-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308858-6_2-bb-home-earth-planter-with-tray-autumn-multicolour-round-v-shaped-2032-cm.jpg'}]"
40308855,"""40308855""","(Planter/ Pot With Tray, Hand- Painted Ceramic, Vintage Triangle Black Yellow, 25.4 cm, Large Size)bb home Earth[1]{ pc}<1299>",bb home Earth,1.0,pc,1,1, pc,1299.0,"Kitchen, Garden & Pets",Gardening,"Pots, Planters & Trays",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40308855_2-bb-home-earth-planter-with-tray-modern-triangle-black-yellow-round-v-shaped-254-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308855_2-bb-home-earth-planter-with-tray-modern-triangle-black-yellow-round-v-shaped-254-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308855_2-bb-home-earth-planter-with-tray-modern-triangle-black-yellow-round-v-shaped-254-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308855-2_2-bb-home-earth-planter-with-tray-modern-triangle-black-yellow-round-v-shaped-254-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308855-2_2-bb-home-earth-planter-with-tray-modern-triangle-black-yellow-round-v-shaped-254-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308855-2_2-bb-home-earth-planter-with-tray-modern-triangle-black-yellow-round-v-shaped-254-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308855-3_2-bb-home-earth-planter-with-tray-modern-triangle-black-yellow-round-v-shaped-254-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308855-3_2-bb-home-earth-planter-with-tray-modern-triangle-black-yellow-round-v-shaped-254-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308855-3_2-bb-home-earth-planter-with-tray-modern-triangle-black-yellow-round-v-shaped-254-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308855-4_2-bb-home-earth-planter-with-tray-modern-triangle-black-yellow-round-v-shaped-254-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308855-4_2-bb-home-earth-planter-with-tray-modern-triangle-black-yellow-round-v-shaped-254-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308855-4_2-bb-home-earth-planter-with-tray-modern-triangle-black-yellow-round-v-shaped-254-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308855-5_2-bb-home-earth-planter-with-tray-modern-triangle-black-yellow-round-v-shaped-254-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308855-5_2-bb-home-earth-planter-with-tray-modern-triangle-black-yellow-round-v-shaped-254-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308855-5_2-bb-home-earth-planter-with-tray-modern-triangle-black-yellow-round-v-shaped-254-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308855-6_2-bb-home-earth-planter-with-tray-modern-triangle-black-yellow-round-v-shaped-254-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308855-6_2-bb-home-earth-planter-with-tray-modern-triangle-black-yellow-round-v-shaped-254-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308855-6_2-bb-home-earth-planter-with-tray-modern-triangle-black-yellow-round-v-shaped-254-cm.jpg'}]"
40308852,"""40308852""","(Planter/ Pot With Tray, Hand Crafted Ceramic - Cosmic Maroon, 20.32 cm, Medium Size)bb home Earth[1]{ pc}<899>",bb home Earth,1.0,pc,1,1, pc,899.0,"Kitchen, Garden & Pets",Gardening,"Pots, Planters & Trays",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40308852_2-bb-home-earth-planter-with-tray-cosmic-maroon-8-inch.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308852_2-bb-home-earth-planter-with-tray-cosmic-maroon-8-inch.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308852_2-bb-home-earth-planter-with-tray-cosmic-maroon-8-inch.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308852-2_2-bb-home-earth-planter-with-tray-cosmic-maroon-8-inch.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308852-2_2-bb-home-earth-planter-with-tray-cosmic-maroon-8-inch.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308852-2_2-bb-home-earth-planter-with-tray-cosmic-maroon-8-inch.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308852-3_2-bb-home-earth-planter-with-tray-cosmic-maroon-8-inch.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308852-3_2-bb-home-earth-planter-with-tray-cosmic-maroon-8-inch.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308852-3_2-bb-home-earth-planter-with-tray-cosmic-maroon-8-inch.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308852-4_2-bb-home-earth-planter-with-tray-cosmic-maroon-8-inch.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308852-4_2-bb-home-earth-planter-with-tray-cosmic-maroon-8-inch.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308852-4_2-bb-home-earth-planter-with-tray-cosmic-maroon-8-inch.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308852-5_2-bb-home-earth-planter-with-tray-cosmic-maroon-8-inch.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308852-5_2-bb-home-earth-planter-with-tray-cosmic-maroon-8-inch.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308852-5_2-bb-home-earth-planter-with-tray-cosmic-maroon-8-inch.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308852-6_2-bb-home-earth-planter-with-tray-cosmic-maroon-8-inch.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308852-6_2-bb-home-earth-planter-with-tray-cosmic-maroon-8-inch.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308852-6_2-bb-home-earth-planter-with-tray-cosmic-maroon-8-inch.jpg'}]"
40317657,"""40317657""","(Premium Flower Pot No 140 - Black, 29.21 x 34.29 cm)Go Green[1]{ pc}<216>",Go Green,1.0,pc,1,1, pc,216.0,"Kitchen, Garden & Pets",Gardening,"Pots, Planters & Trays",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40317657_1-go-green-premium-flower-pot-black-2921-x-3429-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40317657_1-go-green-premium-flower-pot-black-2921-x-3429-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40317657_1-go-green-premium-flower-pot-black-2921-x-3429-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40317657-2_1-go-green-premium-flower-pot-black-2921-x-3429-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40317657-2_1-go-green-premium-flower-pot-black-2921-x-3429-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40317657-2_1-go-green-premium-flower-pot-black-2921-x-3429-cm.jpg'}]"
40308860,"""40308860""","(Planter/ Pot With Tray, Hand-crafted Ceramic, Vintage Peacock Green, 15.24 cm, Small Size)bb home Earth[1]{ pc}<599>",bb home Earth,1.0,pc,1,1, pc,599.0,"Kitchen, Garden & Pets",Gardening,"Pots, Planters & Trays",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40308860_2-bb-home-earth-planter-with-tray-vintage-peacock-green-hand-painted-1524-cm-small-size.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308860_2-bb-home-earth-planter-with-tray-vintage-peacock-green-hand-painted-1524-cm-small-size.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308860_2-bb-home-earth-planter-with-tray-vintage-peacock-green-hand-painted-1524-cm-small-size.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308860-2_2-bb-home-earth-planter-with-tray-vintage-peacock-green-hand-painted-1524-cm-small-size.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308860-2_2-bb-home-earth-planter-with-tray-vintage-peacock-green-hand-painted-1524-cm-small-size.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308860-2_2-bb-home-earth-planter-with-tray-vintage-peacock-green-hand-painted-1524-cm-small-size.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308860-3_2-bb-home-earth-planter-with-tray-vintage-peacock-green-hand-painted-1524-cm-small-size.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308860-3_2-bb-home-earth-planter-with-tray-vintage-peacock-green-hand-painted-1524-cm-small-size.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308860-3_2-bb-home-earth-planter-with-tray-vintage-peacock-green-hand-painted-1524-cm-small-size.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308860-4_2-bb-home-earth-planter-with-tray-vintage-peacock-green-hand-painted-1524-cm-small-size.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308860-4_2-bb-home-earth-planter-with-tray-vintage-peacock-green-hand-painted-1524-cm-small-size.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308860-4_2-bb-home-earth-planter-with-tray-vintage-peacock-green-hand-painted-1524-cm-small-size.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308860-5_2-bb-home-earth-planter-with-tray-vintage-peacock-green-hand-painted-1524-cm-small-size.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308860-5_2-bb-home-earth-planter-with-tray-vintage-peacock-green-hand-painted-1524-cm-small-size.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308860-5_2-bb-home-earth-planter-with-tray-vintage-peacock-green-hand-painted-1524-cm-small-size.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308860-6_2-bb-home-earth-planter-with-tray-vintage-peacock-green-hand-painted-1524-cm-small-size.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308860-6_2-bb-home-earth-planter-with-tray-vintage-peacock-green-hand-painted-1524-cm-small-size.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308860-6_2-bb-home-earth-planter-with-tray-vintage-peacock-green-hand-painted-1524-cm-small-size.jpg'}]"
40308853,"""40308853""","(Planter/ Pot With Tray, Hand-crafted Ceramic- Cosmic Pastel Grey, 20.32 cm, Medium Size)bb home Earth[1]{ pc}<899>",bb home Earth,1.0,pc,1,1, pc,899.0,"Kitchen, Garden & Pets",Gardening,"Pots, Planters & Trays",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40308853_2-bb-home-earth-planter-with-tray-cosmic-pastel-grey-8-inch.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308853_2-bb-home-earth-planter-with-tray-cosmic-pastel-grey-8-inch.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308853_2-bb-home-earth-planter-with-tray-cosmic-pastel-grey-8-inch.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308853-2_2-bb-home-earth-planter-with-tray-cosmic-pastel-grey-8-inch.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308853-2_2-bb-home-earth-planter-with-tray-cosmic-pastel-grey-8-inch.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308853-2_2-bb-home-earth-planter-with-tray-cosmic-pastel-grey-8-inch.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308853-3_2-bb-home-earth-planter-with-tray-cosmic-pastel-grey-8-inch.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308853-3_2-bb-home-earth-planter-with-tray-cosmic-pastel-grey-8-inch.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308853-3_2-bb-home-earth-planter-with-tray-cosmic-pastel-grey-8-inch.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308853-4_2-bb-home-earth-planter-with-tray-cosmic-pastel-grey-8-inch.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308853-4_2-bb-home-earth-planter-with-tray-cosmic-pastel-grey-8-inch.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308853-4_2-bb-home-earth-planter-with-tray-cosmic-pastel-grey-8-inch.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308853-5_2-bb-home-earth-planter-with-tray-cosmic-pastel-grey-8-inch.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308853-5_2-bb-home-earth-planter-with-tray-cosmic-pastel-grey-8-inch.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308853-5_2-bb-home-earth-planter-with-tray-cosmic-pastel-grey-8-inch.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40308853-6_2-bb-home-earth-planter-with-tray-cosmic-pastel-grey-8-inch.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40308853-6_2-bb-home-earth-planter-with-tray-cosmic-pastel-grey-8-inch.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40308853-6_2-bb-home-earth-planter-with-tray-cosmic-pastel-grey-8-inch.jpg'}]"
40317577,"""40317577""","(Premium Flowerpot No 100 - Brown, 24.76 x 20.95 cm)Go Green[1]{ pc}<84>",Go Green,1.0,pc,1,1, pc,84.0,"Kitchen, Garden & Pets",Gardening,"Pots, Planters & Trays",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40317577_1-go-green-premium-flower-pot-brown-2476-x-2095-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40317577_1-go-green-premium-flower-pot-brown-2476-x-2095-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40317577_1-go-green-premium-flower-pot-brown-2476-x-2095-cm.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40317577-2_1-go-green-premium-flower-pot-brown-2476-x-2095-cm.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40317577-2_1-go-green-premium-flower-pot-brown-2476-x-2095-cm.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40317577-2_1-go-green-premium-flower-pot-brown-2476-x-2095-cm.jpg'}]"
40009059,"""400090591""",(Window Planter - Rectangular)NATURES PLUS[1]{ pc}<220>,NATURES PLUS,1.0,pc,1,1, pc,220.0,"Kitchen, Garden & Pets",Gardening,"Pots, Planters & Trays",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40009059_4-natures-plus-window-planter-rectangular.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40009059_4-natures-plus-window-planter-rectangular.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40009059_4-natures-plus-window-planter-rectangular.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40009059-2_2-natures-plus-window-planter-rectangular.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40009059-2_2-natures-plus-window-planter-rectangular.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40009059-2_2-natures-plus-window-planter-rectangular.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40009059-3_2-natures-plus-window-planter-rectangular.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40009059-3_2-natures-plus-window-planter-rectangular.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40009059-3_2-natures-plus-window-planter-rectangular.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40009059-4_1-natures-plus-window-planter-rectangular.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40009059-4_1-natures-plus-window-planter-rectangular.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40009059-4_1-natures-plus-window-planter-rectangular.jpg'}]"
40267482,"""40267482""","(Flower Pot 120 - Black, Plastic, Durable & Sturdy)NATURES PLUS[1]{ pc}<135>",NATURES PLUS,1.0,pc,1,1, pc,135.0,"Kitchen, Garden & Pets",Gardening,"Pots, Planters & Trays",NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40267482_3-natures-plus-flower-pot-120-black-plastic-durable-sturdy.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40267482_3-natures-plus-flower-pot-120-black-plastic-durable-sturdy.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40267482_3-natures-plus-flower-pot-120-black-plastic-durable-sturdy.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40267482-2_3-natures-plus-flower-pot-120-black-plastic-durable-sturdy.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40267482-2_3-natures-plus-flower-pot-120-black-plastic-durable-sturdy.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40267482-2_3-natures-plus-flower-pot-120-black-plastic-durable-sturdy.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40267482-3_3-natures-plus-flower-pot-120-black-plastic-durable-sturdy.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40267482-3_3-natures-plus-flower-pot-120-black-plastic-durable-sturdy.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40267482-3_3-natures-plus-flower-pot-120-black-plastic-durable-sturdy.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40267482-4_2-natures-plus-flower-pot-120-black-plastic-durable-sturdy.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40267482-4_2-natures-plus-flower-pot-120-black-plastic-durable-sturdy.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40267482-4_2-natures-plus-flower-pot-120-black-plastic-durable-sturdy.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40267482-5_1-natures-plus-flower-pot-120-black-plastic-durable-sturdy.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40267482-5_1-natures-plus-flower-pot-120-black-plastic-durable-sturdy.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40267482-5_1-natures-plus-flower-pot-120-black-plastic-durable-sturdy.jpg'}]"
